Week,aapl
7/17/2016,22
7/24/2016,43
7/31/2016,24
8/7/2016,23
8/14/2016,22
8/21/2016,18
8/28/2016,23
9/4/2016,27
9/11/2016,31
9/18/2016,23
9/25/2016,19
10/2/2016,16
10/9/2016,24
10/16/2016,19
10/23/2016,33
10/30/2016,16
11/6/2016,22
11/13/2016,20
11/20/2016,13
11/27/2016,13
12/4/2016,16
12/11/2016,15
12/18/2016,15
12/25/2016,11
1/1/2017,13
1/8/2017,16
1/15/2017,14
1/22/2017,17
1/29/2017,42
2/5/2017,21
2/12/2017,27
2/19/2017,18
2/26/2017,22
3/5/2017,17
3/12/2017,17
3/19/2017,21
3/26/2017,18
4/2/2017,17
4/9/2017,14
4/16/2017,14
4/23/2017,19
4/30/2017,39
5/7/2017,27
5/14/2017,23
5/21/2017,19
5/28/2017,15
6/4/2017,25
6/11/2017,24
6/18/2017,20
6/25/2017,18
7/2/2017,14
7/9/2017,16
7/16/2017,16
7/23/2017,21
7/30/2017,43
8/6/2017,24
8/13/2017,21
8/20/2017,16
8/27/2017,18
9/3/2017,15
9/10/2017,34
9/17/2017,23
9/24/2017,21
10/1/2017,17
10/8/2017,14
10/15/2017,18
10/22/2017,23
10/29/2017,41
11/5/2017,25
11/12/2017,18
11/19/2017,14
11/26/2017,21
12/3/2017,18
12/10/2017,16
12/17/2017,18
12/24/2017,19
12/31/2017,17
1/7/2018,19
1/14/2018,20
1/21/2018,23
1/28/2018,43
2/4/2018,33
2/11/2018,28
2/18/2018,18
2/25/2018,21
3/4/2018,20
3/11/2018,17
3/18/2018,20
3/25/2018,20
4/1/2018,22
4/8/2018,20
4/15/2018,20
4/22/2018,21
4/29/2018,48
5/6/2018,30
5/13/2018,22
5/20/2018,19
5/27/2018,16
6/3/2018,23
6/10/2018,16
6/17/2018,17
6/24/2018,16
7/1/2018,13
7/8/2018,17
7/15/2018,15
7/22/2018,21
7/29/2018,67
8/5/2018,24
8/12/2018,22
8/19/2018,22
8/26/2018,27
9/2/2018,20
9/9/2018,33
9/16/2018,23
9/23/2018,21
9/30/2018,21
10/7/2018,28
10/14/2018,21
10/21/2018,22
10/28/2018,48
11/4/2018,29
11/11/2018,37
11/18/2018,29
11/25/2018,31
12/2/2018,29
12/9/2018,28
12/16/2018,29
12/23/2018,26
12/30/2018,57
1/6/2019,31
1/13/2019,23
1/20/2019,19
1/27/2019,45
2/3/2019,26
2/10/2019,20
2/17/2019,15
2/24/2019,17
3/3/2019,15
3/10/2019,21
3/17/2019,22
3/24/2019,27
3/31/2019,22
4/7/2019,22
4/14/2019,20
4/21/2019,21
4/28/2019,42
5/5/2019,23
5/12/2019,25
5/19/2019,21
5/26/2019,15
6/2/2019,24
6/9/2019,18
6/16/2019,18
6/23/2019,18
6/30/2019,13
7/7/2019,16
7/14/2019,14
7/21/2019,18
7/28/2019,33
8/4/2019,21
8/11/2019,21
8/18/2019,19
8/25/2019,16
9/1/2019,14
9/8/2019,25
9/15/2019,18
9/22/2019,15
9/29/2019,18
10/6/2019,19
10/13/2019,17
10/20/2019,20
10/27/2019,33
11/3/2019,19
11/10/2019,20
11/17/2019,20
11/24/2019,13
12/1/2019,17
12/8/2019,20
12/15/2019,19
12/22/2019,18
12/29/2019,21
1/5/2020,27
1/12/2020,25
1/19/2020,19
1/26/2020,41
2/2/2020,27
2/9/2020,23
2/16/2020,25
2/23/2020,42
3/1/2020,41
3/8/2020,53
3/15/2020,45
3/22/2020,39
3/29/2020,25
4/5/2020,24
4/12/2020,28
4/19/2020,21
4/26/2020,34
5/3/2020,25
5/10/2020,23
5/17/2020,22
5/24/2020,16
5/31/2020,20
6/7/2020,27
6/14/2020,23
6/21/2020,29
6/28/2020,21
7/5/2020,27
7/12/2020,30
7/19/2020,26
7/26/2020,49
8/2/2020,48
8/9/2020,47
8/16/2020,52
8/23/2020,67
8/30/2020,100
9/6/2020,66
9/13/2020,62
9/20/2020,59
9/27/2020,46
10/4/2020,43
10/11/2020,58
10/18/2020,40
10/25/2020,52
11/1/2020,36
11/8/2020,41
11/15/2020,34
11/22/2020,27
11/29/2020,38
12/6/2020,31
12/13/2020,35
12/20/2020,34
12/27/2020,32
1/3/2021,36
1/10/2021,33
1/17/2021,35
1/24/2021,67
1/31/2021,46
2/7/2021,33
2/14/2021,31
2/21/2021,42
2/28/2021,41
3/7/2021,46
3/14/2021,34
3/21/2021,30
3/28/2021,26
4/4/2021,35
4/11/2021,33
4/18/2021,29
4/25/2021,45
5/2/2021,30
5/9/2021,31
5/16/2021,25
5/23/2021,23
5/30/2021,18
6/6/2021,21
6/13/2021,25
6/20/2021,23
6/27/2021,25
7/4/2021,28
